,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
121,122.1276841,3080631512,7335599666,13541467,18585,7140,4751,237078484,230149,187563,311372,0.41995633,,,,,,,,
122,123.1288076,3081929201,7346315888,13568275,16857,6595,4433,237276034,209501,207597,285263,0.419520376,,,,,,,,
123,124.1299262,3082947184,7348274031,13526307,16334,6683,4731,237184270,219824,209908,297929,0.419547117,,,,,,,,
124,125.1310505,3082121637,7344370065,13520542,16809,6559,4224,237404414,218548,195019,300085,0.419657726,,,,,,,,
125,126.1321931,3082780813,7348256970,13535888,16220,6485,4131,237365834,208298,203412,284789,0.41952545,,,,,,,,
126,127.1333221,3080761847,7334580848,13579092,17564,7016,4470,237265440,209879,208835,297821,0.420032434,,,,,,,,
127,128.1344506,3082848758,7348629572,13517924,16399,6455,4579,237234964,210493,207702,292949,0.419513425,,,,,,,,
128,129.1355794,3081986733,7343972915,13549625,16730,6490,4590,237225754,230827,222083,286889,0.419662051,,,,,,,,
129,130.1358107,3080045573,7337656304,13621112,16082,6090,4198,237190284,199992,199553,295194,0.419758768,,,,,,,,
130,131.1369107,3083553109,7348095342,13643863,16216,6337,4275,237432113,187507,193221,283914,0.419639779,,,,,,,,
131,132.1380354,3082741774,7352763467,13667239,14057,5633,2428,237542320,171167,202848,289934,0.419263014,,,,,,,,
132,133.1391619,3082754821,7344021714,13501672,14238,5597,2338,236744297,172438,207402,375872,0.419763849,,,,,,,,
133,134.1398127,3080516241,7337015357,13503424,14269,5871,2342,237093008,189520,210937,327706,0.419859587,,,,,,,,
134,135.1409488,3082333824,7343232536,13893673,16223,6109,3425,237102984,185365,201864,292501,0.41975163,,,,,,,,
135,136.1420699,3082140836,7343204355,13523890,16834,6583,4397,237091154,215683,201059,298103,0.419726959,,,,,,,,
136,137.1432043,3082656511,7342561160,13524477,16846,6767,4690,237254860,216106,208221,304842,0.419833958,,,,,,,,
137,138.1443272,3081158073,7342584357,13552723,17087,6824,4660,237090290,240480,202769,303886,0.419628556,,,,,,,,
138,139.1454424,3038851109,7236994434,13435758,16933,6372,4449,233669547,225692,205414,300876,0.419905133,,,,,,,,
139,140.1465448,3080504743,7336513359,13552618,27065,6938,5304,237015451,218874,207046,292258,0.419886749,,,,,,,,
140,141.1476687,3082318820,7344693152,13546913,17641,6582,5247,237294531,206910,195823,292183,0.419666112,,,,,,,,
141,142.1488031,3080945896,7336755262,13596666,19234,7078,5080,236805755,242296,210943,340409,0.419933034,,,,,,,,
142,143.1499216,3078376020,7421095308,12467275,88472,8684,5553,231992201,201424,220275,261582,0.414814241,,,,,,,,
143,144.1510662,3078253991,7509814923,10755008,227808,10235,4243,231273368,204669,257918,63578,0.409897451,,,,,,,,
144,145.1521974,3078908956,7413195651,11105495,234068,7870,2994,227745367,303023,510638,73560,0.415328166,,,,,,,,
145,146.153318,3080720164,7243352774,11299630,261521,6175,4133,219447925,316953,615055,39685,0.425316875,,,,,,,,
146,147.1544643,3085915098,7228039073,11117773,233832,8698,6378,216126581,210917,436562,10139,0.426936693,,,,,,,,
147,148.155559,3081332564,7414672894,10690487,264067,10182,5291,220024236,97510,284785,13837,0.415572286,,,,,,,,
148,149.1566898,3079022781,7501204583,10744701,226801,9404,3498,229264172,151885,275254,62011,0.410470445,,,,,,,,
149,150.1578129,3079708152,8332135810,8434549,170405,14935,25000,200474168,2009512,281327,2705785,0.369618093,,,,,,,,
150,151.1589504,3088802670,9372597989,3357158,16776,10666,45425,209735784,5409862,37701,9308978,0.329556722,,,,,,,,
151,152.1600806,3088348897,9355927555,3362709,16429,10734,55782,209622470,5405135,42385,9124971,0.330095427,,,,,,,,
152,153.1612033,3086309868,9324923525,3356755,17833,12241,58387,208682484,5418495,41869,9421574,0.330974282,,,,,,,,
153,154.1623334,3089039408,9361793890,3178540,15257,10160,52574,209202204,5419140,44178,9864469,0.329962339,,,,,,,,
154,155.1634352,3090236492,9397038554,2868833,12470,8754,56793,210264882,5356006,41879,9159279,0.328852167,,,,,,,,
155,156.1645486,3090519763,9404365908,3008519,13368,8611,39750,210739634,5418905,37398,9257406,0.328626065,,,,,,,,
156,157.1656981,3089929406,9379219029,2905105,14576,8748,28443,210256865,5361614,42659,9250047,0.32944421,,,,,,,,
157,158.1668425,3090972655,9384339195,2984434,13362,9131,43045,210097951,5409327,44218,9319654,0.329375632,,,,,,,,
158,159.1678218,3086775782,9351513693,3055607,14030,9430,39260,209238665,5420656,56613,11050950,0.330083009,,,,,,,,
159,160.1689245,3090122535,9410678147,2873510,15404,8549,57747,210826438,5421015,41844,9159401,0.328363428,,,,,,,,
160,161.1700496,3090047983,9407630105,2892734,13946,8522,48676,210760958,5413314,40877,9112919,0.328461892,,,,,,,,
161,162.1711825,3089188676,9396652818,2976624,14076,8974,40318,210512579,5448178,44403,9522309,0.328754157,,,,,,,,
162,163.171823,3088845529,9379051403,3033046,15224,9835,28556,209921827,5423349,40807,8989153,0.329334535,,,,,,,,
163,164.1729478,3090869009,9386368766,3127460,15759,9813,29035,210217178,5386679,41025,9502165,0.329293371,,,,,,,,
164,165.1740737,2954876571,6136956057,30649330,544202,50543,6106,57093807,575335,2122186,981005,0.481488957,,,,,,,,
165,166.1752164,2977230307,6515407616,29883241,420911,36512,4344,51056007,214090,1557257,744017,0.456952271,,,,,,,,
166,167.1757725,2915785894,5864294866,30165230,579830,54596,3600,50596922,283744,2323601,705940,0.497209973,,,,,,,,
167,168.1768723,2947137849,6273828921,29873927,478531,45930,4492,46871994,205841,2053195,231769,0.46975107,,,,,,,,
168,169.1779645,2939890180,6301817740,28826433,560388,61360,5614,51271844,165917,2023917,595473,0.466514631,,,,,,,,
169,170.1791,2978262723,6596261737,30777375,371193,33460,4817,50055552,214913,1793373,316286,0.451507663,,,,,,,,
170,171.179792,3003892510,7184045317,31748535,214370,41280,3792,32576209,235600,1131759,2208999,0.418133848,,,,,,,,
171,172.1809206,2958692141,6963507218,35161142,50152,85422,9192,20651310,215469,202581,797591,0.424885341,,,,,,,,
172,173.182062,3051724311,7162218905,35926957,43360,97688,8077,21024815,214015,213657,1104158,0.426086434,,,,,,,,
173,174.1831571,3074658183,7211192372,30162641,54790,84774,9415,78589387,224415,187649,832054,0.426373063,,,,,,,,
174,175.1838174,3049332661,6934441766,16446491,41501,9837,7552,192691673,420838,258156,376031,0.439737294,,,,,,,,
175,176.1849487,3074313654,7132802535,16870658,19643,6842,4903,197036396,260537,215156,285115,0.431010622,,,,,,,,
176,177.1860938,3066631146,7079790335,16705305,20497,6497,5733,193628933,342526,205638,383653,0.43315282,,,,,,,,
177,178.1872157,3073911439,7181329541,17124223,18939,6058,4584,197161136,257097,197981,369526,0.428042109,,,,,,,,
178,179.1883464,3071607391,7171710170,17040037,22709,6939,5355,197350534,294150,218983,383203,0.42829497,,,,,,,,
179,180.1895036,3082980570,7285564027,17352020,14967,5096,4316,199448998,205553,176194,284962,0.423162923,,,,,,,,
180,181.1905953,3083567330,7287183561,17291352,15613,5617,4236,199443583,169460,179282,243631,0.423149397,,,,,,,,
181,182.1917089,3082478998,7284247938,17278333,15253,5079,4066,199387045,204195,193694,263973,0.423170521,,,,,,,,
182,183.1928245,3082166752,7282784634,17259411,16244,5817,4730,199813616,225769,186815,217766,0.423212673,,,,,,,,
183,184.1939453,3083315266,7292393870,17149905,15188,5261,4372,199978945,217105,190285,256340,0.422812498,,,,,,,,
