,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
114,23.03647059,604286989,927073622,6903755,73905,36490,67873,10775011,13306611,81274,127889,0.651822007
115,23.23678586,602062880,940381648,6744494,70373,36726,63854,10008305,12405575,102749,124888,0.640232486
116,23.43707219,602327603,992978313,6312116,78002,32865,54544,11989502,11256760,81679,149269,0.606586866
117,23.6373944,601852667,900364262,6851338,75908,35800,76508,9615215,14584302,95150,144123,0.668454638
118,23.8376986,606813377,983207749,6783592,71619,37133,56251,11066007,12778054,77980,140517,0.617177171
119,24.03800668,604399669,1029775213,6416070,79745,36811,50288,13440146,10413518,90590,116526,0.586923885
120,24.23831432,602257829,1022865716,6065806,81631,40112,60494,12020690,12364910,102814,150544,0.588794618
121,24.43862384,600847108,982339169,6115936,90878,38241,76333,10329371,13353715,127447,155285,0.611649344
122,24.63893231,600807101,946300911,6354181,101654,37343,61057,12310884,13133764,123363,159123,0.63490069
123,24.83921834,608338191,1023836366,6599206,73699,39852,56811,12988672,9750738,74806,130660,0.594175213
124,25.03955933,586042967,899971814,4738826,219568,37699,26817,15131362,7561276,269687,205678,0.651179246
125,25.23976468,590844200,993293297,5223260,98155,38300,63485,10650975,10884360,203269,168825,0.594833572
126,25.44006484,604446389,980311868,6503353,103559,33437,48525,13332625,8080070,109239,167035,0.616585812
127,25.64038956,598922403,919915805,6379245,97290,36067,73658,10022708,12953976,152853,179952,0.651062195
128,25.84071513,603954989,974676985,6499594,121230,41653,85980,10561055,11706358,84911,125220,0.619646302
129,26.04103815,606082576,944145895,6530182,128659,37405,65620,12642574,11502459,112389,124995,0.641937416
130,26.24136687,603121840,931101625,5817154,145902,58515,123438,9413371,15708158,101913,132681,0.647750819
131,26.44165394,603325390,941072699,6303965,105816,39974,85681,11389886,13061128,110533,167757,0.641103913
132,26.64188877,609793763,1001659586,6765869,81976,34688,57813,12032402,10711831,69721,120131,0.608783435
133,26.84220398,609161242,1064359713,6171316,101417,40325,60817,12914237,12467083,87863,114820,0.572326474
