,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi,,,,,,,,
140,70.58439932,1494853268,1222195645,25516114,144860,4471,1292,58600345,87920,3048428,4904,1.223088361,,,,,,,,
141,71.0849976,1500867718,1236246324,25687007,145313,4414,1380,58484328,84854,2957861,4798,1.21405232,,,,,,,,
142,71.5856264,1487382205,1222601110,24743438,156734,4904,1508,62192594,94225,3337460,4946,1.216571941,,,,,,,,
143,72.08622739,1490391210,1231326456,24294086,161781,5295,1431,66658818,74300,3830280,5810,1.210394857,,,,,,,,
144,72.58681616,1496604035,1236446869,24216702,154829,5273,1364,67461277,80972,4095130,5384,1.210407072,,,,,,,,
145,73.08744275,1490365413,1247194733,23485871,167895,5904,1368,71074052,82080,4373739,6091,1.194974108,,,,,,,,
146,73.58808472,1484810099,1248180895,23646718,168830,5876,1417,70474881,79203,4550841,6600,1.189579255,,,,,,,,
147,74.08870874,1484458930,1258495142,22898498,183839,6432,1634,74972881,87235,4946011,6668,1.179550783,,,,,,,,
148,74.589377,1480435119,1262171056,22490742,187163,6485,1356,76639002,98124,5029469,6654,1.172927482,,,,,,,,
149,75.09002021,1476929291,1265400958,21166717,199060,7372,1367,85097342,89356,5917192,7498,1.167163089,,,,,,,,
150,75.59065403,1466991530,1265871554,19762286,217876,8201,1383,93394451,100924,6863610,8296,1.15887866,,,,,,,,
151,76.09127891,1447664279,1270026581,15227555,278863,11506,1589,119883495,93910,9615251,10608,1.139869276,,,,,,,,
152,76.5918077,1422106939,1263719512,11262866,328442,14216,1443,144796937,107773,11756276,12850,1.125334321,,,,,,,,
153,77.09243268,1392986051,1319831058,7698364,346963,16603,1397,165687923,102551,14005672,15007,1.055427543,,,,,,,,
154,77.59308119,1363128511,1294777110,6180622,394902,4656,1093,200320679,87996,16522995,3174,1.052790091,,,,,,,,
155,78.09373666,1365114512,1254384006,9488401,451526,139637,1080,155383428,81351,13922030,2450870,1.088274807,,,,,,,,
156,78.59439609,1297177981,1255824010,9788725,1606934,410514,2362,64583571,90579,12329856,120480,1.03292975,,,,,,,,
157,79.09509069,1305673354,1296943124,10264184,1393160,351734,2452,60960601,91675,10757395,174877,1.00673139,,,,,,,,
158,79.59576121,1293349884,1217665663,10023953,1515660,381061,2323,59756724,97606,11551322,213393,1.062155174,,,,,,,,
159,80.09639705,1301027557,1205523408,10314083,1531814,390781,2406,62184402,74786,14781175,253774,1.079222144,,,,,,,,
160,80.59703852,1345216537,1253376486,11013686,1382927,351564,2252,77818447,74213,12581592,400121,1.073274114,,,,,,,,
161,81.09767359,1403579766,1274593587,10849864,979047,283637,2252,103636182,87419,8518095,740681,1.101197888,,,,,,,,
162,81.59834154,1451201608,1120451088,9447804,2375992,100678,1636,127021745,74954,6690982,514424,1.295194073,,,,,,,,
163,82.09902408,1354730791,907283723,16362053,8605079,2418,1888,44475061,74983,11253703,1263,1.493172154,,,,,,,,
164,82.59970706,1367853317,936793349,15968704,8396330,2409,1801,46508799,82257,9859435,1467,1.460144138,,,,,,,,
165,83.10049065,1455265671,935282618,14163924,1851069,5548723,1700,53592848,105288,3458002,9454341,1.555963559,,,,,,,,
166,83.60113145,1525243748,1322154964,26563419,83312,2800,1414,48493696,103554,1246444,3228,1.153604373,,,,,,,,
167,84.10176224,1515730313,1248146873,26934091,89179,2711,1678,43884105,127091,1093969,3789,1.214384577,,,,,,,,
168,84.60240471,1517676779,1227842611,26949733,96311,2891,1381,46147101,129164,1220122,3217,1.236051563,,,,,,,,
169,85.1027415,1488381603,1135852047,25629022,99389,2571,1607,40692856,164731,1123466,4647,1.310365736,,,,,,,,
